Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Bubba Smith,SmitBu00,http://www.pro-football-reference.com/players/S/SmitBu00.htm,http://www.sports-reference.com/cfb/players/bubba-smith-2.html
Clint Jones,JoneCl00,http://www.pro-football-reference.com/players/J/JoneCl00.htm,http://www.sports-reference.com/cfb/players/clinton-jones-1.html
Steve Spurrier,SpurSt00,http://www.pro-football-reference.com/players/S/SpurSt00.htm,http://www.sports-reference.com/cfb/players/steve-spurrier-1.html
Bob Griese,GrieBo00,http://www.pro-football-reference.com/players/G/GrieBo00.htm,http://www.sports-reference.com/cfb/players/bob-griese-1.html
George Webster,WebsGe00,http://www.pro-football-reference.com/players/W/WebsGe00.htm,http://www.sports-reference.com/cfb/players/george-webster-1.html
Floyd Little,LittFl00,http://www.pro-football-reference.com/players/L/LittFl00.htm,http://www.sports-reference.com/cfb/players/floyd-little-1.html
Mel Farr,FarrMe00,http://www.pro-football-reference.com/players/F/FarrMe00.htm,http://www.sports-reference.com/cfb/players/mel-farr-1.html
Gene Washington,WashGe01,http://www.pro-football-reference.com/players/W/WashGe01.htm,http://www.sports-reference.com/cfb/players/gene-washington-1.html
Bob Hyland,HylaBo20,http://www.pro-football-reference.com/players/H/HylaBo20.htm,
Loyd Phillips,PhilLo20,http://www.pro-football-reference.com/players/P/PhilLo20.htm,http://www.sports-reference.com/cfb/players/loyd-phillips-1.html
Cas Banaszek,BanaCa20,http://www.pro-football-reference.com/players/B/BanaCa20.htm,http://www.sports-reference.com/cfb/players/cas-banaszek-1.html
Paul Seiler,SeilPa20,http://www.pro-football-reference.com/players/S/SeilPa20.htm,
Ray McDonald,McDoRa00,http://www.pro-football-reference.com/players/M/McDoRa00.htm,
Ron Billingsley,BillRo20,http://www.pro-football-reference.com/players/B/BillRo20.htm,
Alan Page,PageAl00,http://www.pro-football-reference.com/players/P/PageAl00.htm,http://www.sports-reference.com/cfb/players/alan-page-1.html
Dave Williams,WillDa02,http://www.pro-football-reference.com/players/W/WillDa02.htm,http://www.sports-reference.com/cfb/players/dave-williams-1.html
Gene Upshaw,UpshGe00,http://www.pro-football-reference.com/players/U/UpshGe00.htm,
Bob Matheson,MathBo20,http://www.pro-football-reference.com/players/M/MathBo20.htm,http://www.sports-reference.com/cfb/players/bob-matheson-1.html
Harry Jones,JoneHa01,http://www.pro-football-reference.com/players/J/JoneHa01.htm,http://www.sports-reference.com/cfb/players/harry-jones-1.html
Jim Detwiler,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/jim-detwiler-1.html
John Charles,CharJo20,http://www.pro-football-reference.com/players/C/CharJo20.htm,http://www.sports-reference.com/cfb/players/john-charles-1.html
John Pitts,PittJo20,http://www.pro-football-reference.com/players/P/PittJo20.htm,
Tom Regner,RegnTo20,http://www.pro-football-reference.com/players/R/RegnTo20.htm,http://www.sports-reference.com/cfb/players/tom-regner-1.html
Gene Trosch,TrosGe20,http://www.pro-football-reference.com/players/T/TrosGe20.htm,
Don Horn,HornDo00,http://www.pro-football-reference.com/players/H/HornDo00.htm,
Les Kelley,KellLe20,http://www.pro-football-reference.com/players/K/KellLe20.htm,http://www.sports-reference.com/cfb/players/les-kelley-1.html
Bo Burris,BurrBo20,http://www.pro-football-reference.com/players/B/BurrBo20.htm,
Bob Grim,GrimBo00,http://www.pro-football-reference.com/players/G/GrimBo00.htm,http://www.sports-reference.com/cfb/players/bob-grim-1.html
Jim Riley,RileJi20,http://www.pro-football-reference.com/players/R/RileJi20.htm,
Bob Davis,DaviBo00,http://www.pro-football-reference.com/players/D/DaviBo00.htm,http://www.sports-reference.com/cfb/players/bob-davis-1.html
Leo Carroll,CarrLe21,http://www.pro-football-reference.com/players/C/CarrLe21.htm,
Tom Beer,BeerTo00,http://www.pro-football-reference.com/players/B/BeerTo00.htm,
Willie Ellison,ElliWi00,http://www.pro-football-reference.com/players/E/ElliWi00.htm,
Lem Barney,BarnLe00,http://www.pro-football-reference.com/players/B/BarnLe00.htm,
Don Shy,ShyxDo00,http://www.pro-football-reference.com/players/S/ShyxDo00.htm,
Bob Jones,JoneBo01,http://www.pro-football-reference.com/players/J/JoneBo01.htm,
Rich Sheron,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/rich-sheron-1.html
Spain Musgrove,MusgSp20,http://www.pro-football-reference.com/players/M/MusgSp20.htm,
Tom Holzer,HolzTo20,http://www.pro-football-reference.com/players/H/HolzTo20.htm,
Ron McCall,McCaRo20,http://www.pro-football-reference.com/players/M/McCaRo20.htm,
Dave Dunaway,DunaDa20,http://www.pro-football-reference.com/players/D/DunaDa20.htm,http://www.sports-reference.com/cfb/players/dave-dunaway-1.html
Jim LeMoine,LeMoJi20,http://www.pro-football-reference.com/players/L/LeMoJi20.htm,
